,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,team,Player_Team
0,531932,14,MissedShots,0.86,0.635,0.05805482,Luca Koleosho,h,10620,Open Play,2023,RightFoot,22275,Burnley,Manchester City,0,3,11-08-2023 19:00,Vitinho,Pass,home,Burnley
1,531933,17,SavedShot,0.885999985,0.671999969,0.061257575,Zeki Amdouni,h,11701,Open Play,2023,LeftFoot,22275,Burnley,Manchester City,0,3,11-08-2023 19:00,Luca Koleosho,Pass,home,Burnley
2,531934,28,MissedShots,0.87,0.750999985,0.017111763,Lyle Foster,h,7498,Open Play,2023,LeftFoot,22275,Burnley,Manchester City,0,3,11-08-2023 19:00,,TakeOn,home,Burnley
3,531936,36,BlockedShot,0.86,0.455,0.097616404,Lyle Foster,h,7498,Open Play,2023,RightFoot,22275,Burnley,Manchester City,0,3,11-08-2023 19:00,Luca Koleosho,Pass,home,Burnley
4,531947,79,BlockedShot,0.816999969,0.535999985,0.063983746,Anass Zaroury,h,11703,Open Play,2023,LeftFoot,22275,Burnley,Manchester City,0,3,11-08-2023 19:00,Lyle Foster,Pass,home,Burnley
5,531948,81,MissedShots,0.958000031,0.375999985,0.013008161,Jacob Bruun Larsen,h,5355,From Corner,2023,Head,22275,Burnley,Manchester City,0,3,11-08-2023 19:00,Anass Zaroury,Aerial,home,Burnley
6,531929,3,Goal,0.936999969,0.505999985,0.505845666,Erling Haaland,a,8260,From Corner,2023,LeftFoot,22275,Burnley,Manchester City,0,3,11-08-2023 19:00,Rodri,HeadPass,away,Manchester City
7,531930,5,MissedShots,0.719000015,0.389000015,0.018894449,Kevin De Bruyne,a,447,Open Play,2023,RightFoot,22275,Burnley,Manchester City,0,3,11-08-2023 19:00,Phil Foden,Pass,away,Manchester City
8,531931,10,MissedShots,0.951999969,0.420999985,0.130246803,Erling Haaland,a,8260,Open Play,2023,RightFoot,22275,Burnley,Manchester City,0,3,11-08-2023 19:00,Kevin De Bruyne,Cross,away,Manchester City
9,531935,35,Goal,0.890999985,0.385,0.113213658,Erling Haaland,a,8260,Open Play,2023,LeftFoot,22275,Burnley,Manchester City,0,3,11-08-2023 19:00,Julián Álvarez,Pass,away,Manchester City
10,531937,45,SavedShot,0.898000031,0.482000008,0.168699607,Phil Foden,a,6055,Open Play,2023,LeftFoot,22275,Burnley,Manchester City,0,3,11-08-2023 19:00,Mateo Kovacic,TakeOn,away,Manchester City
11,531938,51,BlockedShot,0.944000015,0.681999969,0.132756263,Erling Haaland,a,8260,Open Play,2023,LeftFoot,22275,Burnley,Manchester City,0,3,11-08-2023 19:00,Julián Álvarez,Throughball,away,Manchester City
12,531939,52,BlockedShot,0.950999985,0.625999985,0.073167272,Phil Foden,a,6055,From Corner,2023,LeftFoot,22275,Burnley,Manchester City,0,3,11-08-2023 19:00,,,away,Manchester City
13,531940,54,SavedShot,0.705999985,0.439000015,0.014352703,Rodri,a,2496,Open Play,2023,RightFoot,22275,Burnley,Manchester City,0,3,11-08-2023 19:00,Kyle Walker,BallRecovery,away,Manchester City
14,531941,54,SavedShot,0.865999985,0.485,0.020431943,Rodri,a,2496,From Corner,2023,Head,22275,Burnley,Manchester City,0,3,11-08-2023 19:00,Julián Álvarez,Cross,away,Manchester City
15,531942,59,MissedShots,0.881999969,0.335999985,0.086557761,Julián Álvarez,a,10846,Open Play,2023,RightFoot,22275,Burnley,Manchester City,0,3,11-08-2023 19:00,Erling Haaland,Pass,away,Manchester City
16,531943,66,BlockedShot,0.859000015,0.392000008,0.100109071,Rodri,a,2496,Open Play,2023,RightFoot,22275,Burnley,Manchester City,0,3,11-08-2023 19:00,Julián Álvarez,LayOff,away,Manchester City
17,531944,74,BlockedShot,0.958000031,0.495999985,0.109350026,Nathan Aké,a,579,Set Piece,2023,LeftFoot,22275,Burnley,Manchester City,0,3,11-08-2023 19:00,,,away,Manchester City
18,531945,74,Goal,0.951999969,0.494000015,0.659317315,Rodri,a,2496,Set Piece,2023,RightFoot,22275,Burnley,Manchester City,0,3,11-08-2023 19:00,,Rebound,away,Manchester City
19,531946,78,BlockedShot,0.888000031,0.602999992,0.131689534,Julián Álvarez,a,10846,Open Play,2023,RightFoot,22275,Burnley,Manchester City,0,3,11-08-2023 19:00,Erling Haaland,Pass,away,Manchester City
20,531949,85,SavedShot,0.869000015,0.317999992,0.071779422,Julián Álvarez,a,10846,Open Play,2023,RightFoot,22275,Burnley,Manchester City,0,3,11-08-2023 19:00,Phil Foden,Pass,away,Manchester City
21,531950,87,MissedShots,0.821999969,0.283999996,0.024144074,Phil Foden,a,6055,Set Piece,2023,LeftFoot,22275,Burnley,Manchester City,0,3,11-08-2023 19:00,Julián Álvarez,Pass,away,Manchester City
22,531951,94,SavedShot,0.913000031,0.527000008,0.112282462,Aymeric Laporte,a,2498,Set Piece,2023,Head,22275,Burnley,Manchester City,0,3,11-08-2023 19:00,Julián Álvarez,Cross,away,Manchester City
23,531993,9,MissedShots,0.95,0.597999992,0.087004781,Eddie Nketiah,h,6482,Open Play,2023,Head,22276,Arsenal,Nottingham Forest,2,1,12-08-2023 11:30,Bukayo Saka,Cross,home,Arsenal
24,531995,23,BlockedShot,0.794000015,0.547999992,0.03973984,Kai Havertz,h,5220,Open Play,2023,LeftFoot,22276,Arsenal,Nottingham Forest,2,1,12-08-2023 11:30,Gabriel Martinelli,Pass,home,Arsenal
25,531996,24,BlockedShot,0.881999969,0.307000008,0.051885102,Bukayo Saka,h,7322,Open Play,2023,RightFoot,22276,Arsenal,Nottingham Forest,2,1,12-08-2023 11:30,Thomas Partey,Pass,home,Arsenal
26,531997,25,Goal,0.880999985,0.569000015,0.062977418,Eddie Nketiah,h,6482,From Corner,2023,RightFoot,22276,Arsenal,Nottingham Forest,2,1,12-08-2023 11:30,Gabriel Martinelli,BallTouch,home,Arsenal
27,531998,31,Goal,0.794000015,0.375,0.037814829,Bukayo Saka,h,7322,Open Play,2023,LeftFoot,22276,Arsenal,Nottingham Forest,2,1,12-08-2023 11:30,William Saliba,Pass,home,Arsenal
28,531999,37,MissedShots,0.915999985,0.342000008,0.079029813,Eddie Nketiah,h,6482,Open Play,2023,RightFoot,22276,Arsenal,Nottingham Forest,2,1,12-08-2023 11:30,,,home,Arsenal
29,532000,43,SavedShot,0.718000031,0.630999985,0.017370943,Declan Rice,h,5553,Open Play,2023,RightFoot,22276,Arsenal,Nottingham Forest,2,1,12-08-2023 11:30,Bukayo Saka,Pass,home,Arsenal
