,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,team,Player_Team
0,531902,11,MissedShots,0.87,0.415,0.093616329,Adrián Embarba,h,2166,Open Play,2023,RightFoot,22685,Almeria,Rayo Vallecano,0,2,11-08-2023 17:30,Alejandro Pozo,Pass,home,Almeria
1,531904,24,MissedShots,0.71,0.400999985,0.011270431,Lucas Robertone,h,10972,Open Play,2023,RightFoot,22685,Almeria,Rayo Vallecano,0,2,11-08-2023 17:30,,,home,Almeria
2,531906,29,MissedShots,0.955999985,0.474000015,0.137721121,Iddrisu Baba,h,7840,From Corner,2023,Head,22685,Almeria,Rayo Vallecano,0,2,11-08-2023 17:30,Adrián Embarba,Cross,home,Almeria
3,531907,33,SavedShot,0.914000015,0.612999992,0.301939785,Luis Suárez,h,8978,Open Play,2023,LeftFoot,22685,Almeria,Rayo Vallecano,0,2,11-08-2023 17:30,Sergio Akieme,Throughball,home,Almeria
4,531908,36,MissedShots,0.685999985,0.424000015,0.009256296,Iddrisu Baba,h,7840,Open Play,2023,RightFoot,22685,Almeria,Rayo Vallecano,0,2,11-08-2023 17:30,Lázaro,Pass,home,Almeria
5,531909,38,SavedShot,0.82,0.479000015,0.067834549,Luis Suárez,h,8978,Open Play,2023,LeftFoot,22685,Almeria,Rayo Vallecano,0,2,11-08-2023 17:30,Largie Ramazani,Pass,home,Almeria
6,531912,47,MissedShots,0.919000015,0.332000008,0.052364592,Lázaro,h,11099,Open Play,2023,RightFoot,22685,Almeria,Rayo Vallecano,0,2,11-08-2023 17:30,,,home,Almeria
7,531914,52,MissedShots,0.899000015,0.555,0.057684895,Srdjan Babic,h,10971,From Corner,2023,Head,22685,Almeria,Rayo Vallecano,0,2,11-08-2023 17:30,Adrián Embarba,Cross,home,Almeria
8,531915,53,MissedShots,0.773000031,0.527000008,0.031153029,Adrián Embarba,h,2166,Open Play,2023,RightFoot,22685,Almeria,Rayo Vallecano,0,2,11-08-2023 17:30,Sergio Arribas,Pass,home,Almeria
9,531916,57,SavedShot,0.76,0.316000004,0.01727454,Largie Ramazani,h,10975,Open Play,2023,LeftFoot,22685,Almeria,Rayo Vallecano,0,2,11-08-2023 17:30,Iddrisu Baba,TakeOn,home,Almeria
10,531917,58,SavedShot,0.930999985,0.273999996,0.035829961,Largie Ramazani,h,10975,Open Play,2023,RightFoot,22685,Almeria,Rayo Vallecano,0,2,11-08-2023 17:30,Sergio Arribas,Pass,home,Almeria
11,531918,59,BlockedShot,0.744000015,0.24,0.013530959,Sergio Arribas,h,8862,Open Play,2023,LeftFoot,22685,Almeria,Rayo Vallecano,0,2,11-08-2023 17:30,Largie Ramazani,Pass,home,Almeria
12,531919,61,MissedShots,0.805,0.537000008,0.01994532,Adrián Embarba,h,2166,From Corner,2023,RightFoot,22685,Almeria,Rayo Vallecano,0,2,11-08-2023 17:30,,Aerial,home,Almeria
13,531920,68,BlockedShot,0.846999969,0.390999985,0.067710787,Sergio Arribas,h,8862,Open Play,2023,LeftFoot,22685,Almeria,Rayo Vallecano,0,2,11-08-2023 17:30,Adrián Embarba,LayOff,home,Almeria
14,531922,73,MissedShots,0.869000015,0.519000015,0.028599409,Sergio Arribas,h,8862,Open Play,2023,Head,22685,Almeria,Rayo Vallecano,0,2,11-08-2023 17:30,Marc Pubill,Chipped,home,Almeria
15,531923,78,SavedShot,0.860999985,0.671999969,0.044482965,Sergio Akieme,h,2594,Open Play,2023,RightFoot,22685,Almeria,Rayo Vallecano,0,2,11-08-2023 17:30,Adrián Embarba,TakeOn,home,Almeria
16,531924,79,MissedShots,0.709000015,0.495999985,0.013452234,Dion Lopy,h,9450,Open Play,2023,RightFoot,22685,Almeria,Rayo Vallecano,0,2,11-08-2023 17:30,Sergio Akieme,Pass,home,Almeria
17,531927,84,BlockedShot,0.861999969,0.703000031,0.042249002,Luis Suárez,h,8978,Open Play,2023,RightFoot,22685,Almeria,Rayo Vallecano,0,2,11-08-2023 17:30,Sergio Arribas,Pass,home,Almeria
18,531928,90,MissedShots,0.91,0.415,0.073684514,Luis Suárez,h,8978,Open Play,2023,Head,22685,Almeria,Rayo Vallecano,0,2,11-08-2023 17:30,Marc Pubill,Cross,home,Almeria
19,531900,3,MissedShots,0.935,0.429000015,0.127182364,Randy Nteka,a,9813,Open Play,2023,Head,22685,Almeria,Rayo Vallecano,0,2,11-08-2023 17:30,Iván Balliu,Cross,away,Rayo Vallecano
20,531901,9,MissedShots,0.814000015,0.504000015,0.160967454,Isi Palazón,a,9812,Direct Free Kick,2023,LeftFoot,22685,Almeria,Rayo Vallecano,0,2,11-08-2023 17:30,,Standard,away,Rayo Vallecano
21,531903,19,Goal,0.885,0.5,0.743277609,Isi Palazón,a,9812,Penalty,2023,LeftFoot,22685,Almeria,Rayo Vallecano,0,2,11-08-2023 17:30,,Standard,away,Rayo Vallecano
22,531905,27,Goal,0.885,0.5,0.743277609,Randy Nteka,a,9813,Penalty,2023,LeftFoot,22685,Almeria,Rayo Vallecano,0,2,11-08-2023 17:30,,Standard,away,Rayo Vallecano
23,531910,44,SavedShot,0.793000031,0.342000008,0.038888451,Unai López,a,4091,Open Play,2023,RightFoot,22685,Almeria,Rayo Vallecano,0,2,11-08-2023 17:30,,BallRecovery,away,Rayo Vallecano
24,531911,44,BlockedShot,0.868000031,0.36,0.06490548,Unai López,a,4091,Open Play,2023,RightFoot,22685,Almeria,Rayo Vallecano,0,2,11-08-2023 17:30,Randy Nteka,HeadPass,away,Rayo Vallecano
25,531913,50,SavedShot,0.87,0.297000008,0.063170381,Óscar Trejo,a,3208,Open Play,2023,RightFoot,22685,Almeria,Rayo Vallecano,0,2,11-08-2023 17:30,Iván Balliu,Pass,away,Rayo Vallecano
26,531921,70,BlockedShot,0.813000031,0.316000004,0.038976125,Isi Palazón,a,9812,Open Play,2023,LeftFoot,22685,Almeria,Rayo Vallecano,0,2,11-08-2023 17:30,,BallTouch,away,Rayo Vallecano
27,531925,80,BlockedShot,0.805999985,0.532999992,0.06815771,Randy Nteka,a,9813,Open Play,2023,LeftFoot,22685,Almeria,Rayo Vallecano,0,2,11-08-2023 17:30,Isi Palazón,Pass,away,Rayo Vallecano
