,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,team,Player_Team
0,532263,2,BlockedShot,0.883000031,0.599000015,0.018700033,Samuel Gigot,h,6773,From Corner,2023,Head,23372,Marseille,Reims,2,1,12-08-2023 18:00,Jonathan Clauss,Cross,home,Marseille
1,532264,6,BlockedShot,0.836999969,0.678000031,0.038394395,Azz-Eddine Ounahi,h,8328,Open Play,2023,RightFoot,23372,Marseille,Reims,2,1,12-08-2023 18:00,Vitinha,Pass,home,Marseille
2,532265,7,MissedShots,0.784000015,0.34,0.016120438,Azz-Eddine Ounahi,h,8328,From Corner,2023,RightFoot,23372,Marseille,Reims,2,1,12-08-2023 18:00,Valentin Rongier,BallTouch,home,Marseille
3,532268,16,MissedShots,0.888000031,0.475999985,0.058179982,Iliman Ndiaye,h,9307,Open Play,2023,Head,23372,Marseille,Reims,2,1,12-08-2023 18:00,Vitinha,Cross,home,Marseille
4,532269,16,BlockedShot,0.803000031,0.500999985,0.04435166,Geoffrey Kondogbia,h,1516,Open Play,2023,LeftFoot,23372,Marseille,Reims,2,1,12-08-2023 18:00,Azz-Eddine Ounahi,Pass,home,Marseille
5,532271,22,Goal,0.745999985,0.570999985,0.02006576,Azz-Eddine Ounahi,h,8328,Open Play,2023,RightFoot,23372,Marseille,Reims,2,1,12-08-2023 18:00,Iliman Ndiaye,Pass,home,Marseille
6,532276,46,SavedShot,0.908000031,0.450999985,0.08224687,Samuel Gigot,h,6773,Set Piece,2023,LeftFoot,23372,Marseille,Reims,2,1,12-08-2023 18:00,,,home,Marseille
7,532275,49,SavedShot,0.896999969,0.182999992,0.062937967,Renan Lodi,h,7891,Direct Free Kick,2023,LeftFoot,23372,Marseille,Reims,2,1,12-08-2023 18:00,,Standard,home,Marseille
8,532277,53,MissedShots,0.955,0.44,0.120032877,Vitinha,h,11380,Open Play,2023,RightFoot,23372,Marseille,Reims,2,1,12-08-2023 18:00,Ismaila Sarr,Cross,home,Marseille
9,532278,62,MissedShots,0.794000015,0.370999985,0.022208543,Jonathan Clauss,h,8697,From Corner,2023,RightFoot,23372,Marseille,Reims,2,1,12-08-2023 18:00,,,home,Marseille
10,532280,72,Goal,0.958000031,0.464000015,0.632015646,Vitinha,h,11380,Open Play,2023,RightFoot,23372,Marseille,Reims,2,1,12-08-2023 18:00,Ismaila Sarr,Pass,home,Marseille
11,532281,75,BlockedShot,0.85,0.570999985,0.055755328,Geoffrey Kondogbia,h,1516,From Corner,2023,RightFoot,23372,Marseille,Reims,2,1,12-08-2023 18:00,Azz-Eddine Ounahi,Pass,home,Marseille
