,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,team,Player_Team
0,533358,7,SavedShot,0.79,0.676999969,0.024053942,Razvan Marin,h,8856,Open Play,2023,RightFoot,22305,Empoli,Verona,0,1,19-08-2023 16:30,Liberato Cacace,Pass,home,Empoli
1,533359,10,MissedShots,0.725,0.515999985,0.021415077,Matteo Cancellieri,h,9071,Open Play,2023,LeftFoot,22305,Empoli,Verona,0,1,19-08-2023 16:30,Alberto Grassi,Pass,home,Empoli
2,533360,12,SavedShot,0.936999969,0.671999969,0.067694947,Francesco Caputo,h,6980,Open Play,2023,RightFoot,22305,Empoli,Verona,0,1,19-08-2023 16:30,,Dispossessed,home,Empoli
3,533361,12,MissedShots,0.915999985,0.352000008,0.064669214,Matteo Cancellieri,h,9071,Open Play,2023,RightFoot,22305,Empoli,Verona,0,1,19-08-2023 16:30,,Rebound,home,Empoli
4,533365,41,MissedShots,0.923000031,0.570999985,0.452267587,Emmanuel Gyasi,h,8913,Open Play,2023,RightFoot,22305,Empoli,Verona,0,1,19-08-2023 16:30,Tommaso Baldanzi,Pass,home,Empoli
5,533366,44,MissedShots,0.750999985,0.735999985,0.038743638,Razvan Marin,h,8856,Direct Free Kick,2023,RightFoot,22305,Empoli,Verona,0,1,19-08-2023 16:30,,Standard,home,Empoli
6,533368,59,MissedShots,0.783000031,0.547999992,0.096612528,Razvan Marin,h,8856,Direct Free Kick,2023,RightFoot,22305,Empoli,Verona,0,1,19-08-2023 16:30,,Standard,home,Empoli
7,533372,79,SavedShot,0.624000015,0.380999985,0.009054348,Steven Shpendi,h,11875,Open Play,2023,LeftFoot,22305,Empoli,Verona,0,1,19-08-2023 16:30,,BallRecovery,home,Empoli
8,533373,83,SavedShot,0.879000015,0.666999969,0.057810221,Tommaso Baldanzi,h,9951,Open Play,2023,LeftFoot,22305,Empoli,Verona,0,1,19-08-2023 16:30,Steven Shpendi,TakeOn,home,Empoli
9,533375,91,BlockedShot,0.761999969,0.68,0.016783329,Tommaso Baldanzi,h,9951,Open Play,2023,LeftFoot,22305,Empoli,Verona,0,1,19-08-2023 16:30,Emmanuel Ekong,Pass,home,Empoli
10,533362,16,SavedShot,0.773000031,0.746999969,0.010735633,Josh Doig,a,11023,Open Play,2023,LeftFoot,22305,Empoli,Verona,0,1,19-08-2023 16:30,Giangiacomo Magnani,Chipped,away,Verona
11,533363,29,MissedShots,0.768000031,0.342999992,0.022891922,Jordi Mboula,a,6396,Open Play,2023,RightFoot,22305,Empoli,Verona,0,1,19-08-2023 16:30,Pawel Dawidowicz,Pass,away,Verona
12,533364,41,SavedShot,0.890999985,0.354000015,0.080954045,Cyril Ngonge,a,11306,Open Play,2023,LeftFoot,22305,Empoli,Verona,0,1,19-08-2023 16:30,Ondrej Duda,Pass,away,Verona
13,533367,55,BlockedShot,0.875,0.349000015,0.048588511,Cyril Ngonge,a,11306,Open Play,2023,LeftFoot,22305,Empoli,Verona,0,1,19-08-2023 16:30,Filippo Terracciano,HeadPass,away,Verona
14,533369,60,MissedShots,0.901999969,0.427999992,0.066038482,Pawel Dawidowicz,a,7923,Set Piece,2023,Head,22305,Empoli,Verona,0,1,19-08-2023 16:30,Ondrej Duda,Cross,away,Verona
15,533370,61,MissedShots,0.953000031,0.654000015,0.267721355,Josh Doig,a,11023,Open Play,2023,LeftFoot,22305,Empoli,Verona,0,1,19-08-2023 16:30,Filippo Terracciano,Cross,away,Verona
16,533371,74,Goal,0.920999985,0.412999992,0.094158158,Federico Bonazzoli,a,2019,From Corner,2023,LeftFoot,22305,Empoli,Verona,0,1,19-08-2023 16:30,,,away,Verona
17,533374,87,MissedShots,0.741999969,0.635,0.024242165,Riccardo Saponara,a,1313,Open Play,2023,RightFoot,22305,Empoli,Verona,0,1,19-08-2023 16:30,Federico Bonazzoli,Pass,away,Verona
18,533376,94,SavedShot,0.841999969,0.569000015,0.063502625,Federico Bonazzoli,a,2019,Open Play,2023,LeftFoot,22305,Empoli,Verona,0,1,19-08-2023 16:30,Milan Djuric,HeadPass,away,Verona
19,533377,94,MissedShots,0.721999969,0.653000031,0.012823801,Juan Cabal,a,11054,Open Play,2023,LeftFoot,22305,Empoli,Verona,0,1,19-08-2023 16:30,,Rebound,away,Verona
